Origin,Mean_grade,std_grade,Number_beers,Mean_price_euro_per_litter,std_price
Netherlands,3.6333158866995077,0.27673299063541357,3283,12.897551836361723,4.1345334489354135
Canada,4.0923622047244095,0.2595343705853366,387,20.465785585965257,4.328645671110398
Czech Republic,3.741573604060914,0.25030809773056767,198,10.897174813675871,3.9301803719001955
Germany,3.5428091339939685,0.29312149155782796,2341,9.23910635215792,5.050501058008351
Poland,3.7379461615154534,0.24787272403006697,1005,10.662962293794187,4.7400244804046
Spain,3.8756666666666666,0.21373052775087045,663,15.874125521323158,3.780000899427349
Belgium,3.678689619732785,0.26825483625300584,3903,12.631903958336574,5.153559215076051
United States,3.9667045993361785,0.24142799100614815,2118,17.65911740219943,5.133840042577065
Slovakia,3.4180952380952383,0.22104229917722015,42,7.769581529581529,2.076154698933565
Ireland,3.7736125654450263,0.29948910295475956,192,13.323250501666877,5.305297576024421
England,3.8033397932816535,0.25402516973248374,1557,14.643209598010968,3.9476315637879282
Romania,3.897871485943775,0.19828469968007753,256,14.443785511363636,3.923358122053432
Hungary,3.6681978798586568,0.24380538773310084,290,13.65576096022785,4.306955761313861
Estonia,3.731415662650602,0.2721683915319822,332,14.152358185384243,4.091189294886118
Scotland,3.8049677419354837,0.2534155665862086,468,15.651249721848314,5.37135799883105
Croatia,3.7957407407407406,0.25290167903606187,108,12.80412177328844,3.148360105114306
Sweden,3.789138755980861,0.2471472243112992,419,15.851800101251175,4.420263359580051
Greece,3.9798039215686276,0.21306797221617696,51,17.169275103980986,3.922918211619244
Finland,3.890967741935484,0.2921846665773021,93,17.154447702834798,3.372710291718558
Brazil,3.998285714285714,0.4123496925032962,35,14.946874458874458,3.787404554107754
Latvia,3.9794217687074833,0.1550206603062179,294,14.331069287855003,2.9576646736502172
Norway,3.705059523809524,0.3330796991691008,336,14.968119187910853,4.207521753225578
France,3.8520853658536587,0.23391276570329003,838,15.105011612307823,4.790064744693016
Italy,3.7663829787234047,0.20780236694563084,144,15.76584411115661,4.374472303049472
Wales,3.8155555555555556,0.2487813208299002,118,14.891305304864627,3.0670164536683457
Bulgaria,3.9027777777777777,0.15972496201928957,36,15.87641414141414,4.113845475220462
Austria,3.5840677966101695,0.21808032879453004,59,12.02612737544941,5.066771853446274
Denmark,3.6061953727506424,0.27511182895713804,389,14.67835760303635,3.8997738963257897
Northern Ireland,3.745,0.21209481494443913,20,13.14669696969697,4.244896529462313
Switzerland,3.979574468085106,0.23351712949745823,47,20.030257898130237,3.8233978007680847
Portugal,3.870212765957447,0.2254029180948227,48,17.69876893939394,3.834342133453244
USA,3.58,,1,12.95774647887324,
Estland,3.22,,1,17.272727272727273,
Spanje,3.69,,1,14.545454545454547,
Nederland,3.4499999999999997,0.2864146178764857,7,12.824675324675324,2.8596902042339654
Ukraine,3.8903448275862065,0.24919130285529453,29,15.101149425287357,3.461239447782344
United Kingdom,3.73,0.0,3,11.363636363636362,0.3936479108111086
Singapore,2.95,,1,8.787878787878787,
Slovenia,3.596,0.07443824710173493,20,14.000409090909091,2.6197779415352946
Lithuania,3.485,0.10310189135025602,6,13.196969696969695,2.1862539085004338
UK,4.21,,1,21.363636363636363,
Australia,3.72,0.18734993995195212,4,18.987272727272725,7.608427109817077
Russia,4.016666666666667,0.1594783161854095,3,17.1289898989899,1.4010515640598589
India,2.98,,1,6.636363636363636,
Luxembourg,3.528,0.20980943734732233,5,15.905757575757576,4.574402568788703
Bosnia and Herzegovina,2.97,,1,10.15151515151515,
Hong Kong,3.31,0.0,2,9.833333333333334,3.1926942544483516
Georgia,3.61,,1,13.0,
Serbia,3.7409090909090907,0.12549538202296895,11,14.086942148760329,2.924029464547459
Indonesia,3.51,,1,5.0,
Argentina,3.9840000000000004,0.11458621208505025,5,21.37519379844961,3.0000614824837313
Namibia,3.04,,1,8.787878787878787,
Mexico,3.13,0.6222539674441616,4,7.84763124199744,3.2650154865960053
Ethiopia,3.09,0.0,3,6.111111111111111,0.4870530687370186
New Zealand,3.6550000000000002,0.21920310216782962,2,12.102272727272727,1.5267078230164102
Japan,2.5,,1,7.848484848484848,
BelgiÃ«,3.42,,1,11.818181818181817,
Chile,3.9560000000000004,0.15109599597606835,5,19.682875264270614,0.5200158087208817
